RANK,PLAYER,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1,Evan Mobley,CLE,69,33.8,6.1,12,0.508,0.3,1.3,0.25,2.4,3.7,0.663,2.1,6.2,8.3,2.5,0.8,1.7,1.9,15,19.2
2,Scottie Barnes,TOR,74,35.4,6.2,12.6,0.492,0.8,2.6,0.301,2.1,2.9,0.735,2.6,4.9,7.5,3.5,1.1,0.7,1.8,15.3,19.1
3,Josh Giddey,OKC,54,31.5,5.2,12.4,0.419,1,3.9,0.263,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,12.5,17.2
4,Cade Cunningham,DET,64,32.6,6.7,16.1,0.416,1.8,5.7,0.314,2.2,2.6,0.845,0.9,4.6,5.5,5.6,1.2,0.7,3.7,17.4,16.9
5,Franz Wagner,ORL,79,30.7,5.8,12.3,0.468,1.2,3.4,0.354,2.4,2.8,0.863,1.1,3.4,4.5,2.9,0.9,0.4,1.5,15.2,15.4
6,Jalen Green,HOU,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,17.3,13.3
7,Terry Taylor,IND,33,21.6,4.1,6.7,0.614,0.4,1.2,0.316,1.1,1.5,0.706,2.9,2.3,5.2,1.2,0.4,0.2,0.7,9.6,13
8,Alperen Sengun,HOU,72,20.7,3.5,7.3,0.474,0.4,1.6,0.248,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2,9.6,12.6
9,Herbert Jones,NOP,78,29.9,3.5,7.4,0.476,0.7,2.2,0.337,1.8,2.1,0.84,1.3,2.5,3.8,2.1,1.7,0.8,1.3,9.5,12.4
10,Chris Duarte,IND,55,28,4.9,11.3,0.432,1.7,4.6,0.369,1.6,2,0.804,0.7,3.4,4.1,2.1,1,0.2,1.6,13.1,12
11,Ayo Dosunmu,CHI,77,27.4,3.6,6.9,0.52,0.9,2.4,0.376,0.7,1,0.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,8.8,11
12,Trendon Watford,POR,48,18.1,3,5.6,0.532,0.2,0.8,0.237,1.5,2,0.755,1.2,3,4.1,1.7,0.5,0.6,0.9,7.6,10.5
13,Davion Mitchell,SAC,75,27.7,4.7,11.2,0.418,1.3,4.3,0.316,0.7,1.1,0.659,0.4,1.8,2.2,4.2,0.7,0.3,1.5,11.5,10.5
14,Isaiah Jackson,IND,36,15,3.2,5.7,0.563,0.1,0.4,0.313,1.7,2.4,0.682,1.7,2.5,4.1,0.3,0.7,1.4,1.1,8.3,10.4
15,Jalen Suggs,ORL,48,27.2,4.1,11.4,0.361,0.9,4.1,0.214,2.6,3.4,0.773,0.5,3,3.6,4.4,1.2,0.4,3,11.8,10.3
16,Bones Hyland,DEN,69,19,3.3,8.3,0.403,1.9,5.2,0.366,1.6,1.8,0.856,0.2,2.5,2.7,2.8,0.6,0.3,1.2,10.1,10
17,Jeremiah Robinson-Earl,OKC,49,22.2,2.7,6.6,0.414,1.2,3.4,0.352,0.8,1.1,0.741,1.5,4.1,5.6,1,0.6,0.3,0.8,7.5,10
18,Austin Reaves,LAL,61,23.2,2.4,5.2,0.459,0.9,2.7,0.317,1.6,1.9,0.839,0.7,2.4,3.2,1.8,0.5,0.3,0.7,7.3,9.3
19,Jonathan Kuminga,GSW,70,16.9,3.4,6.6,0.513,0.7,2.1,0.336,1.9,2.7,0.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,9.3,9.2
20,Day'Ron Sharpe,BKN,32,12.2,2.7,4.7,0.577,0.1,0.2,0.286,0.8,1.3,0.585,2.5,2.5,5,0.5,0.3,0.5,0.9,6.2,9.1
21,Omer Yurtseven,MIA,56,12.6,2.3,4.4,0.526,0,0.2,0.091,0.7,1.1,0.623,1.5,3.7,5.3,0.9,0.3,0.4,0.7,5.3,8.9
22,Aaron Wiggins,OKC,50,24.2,3.1,6.7,0.463,0.8,2.8,0.304,1.2,1.7,0.729,1,2.5,3.6,1.4,0.6,0.2,1.1,8.3,8.9
